aletrnatif,longitude,latitude,jumlah_atraksi,jumlah_penduduk,indeks_pendapatan,harga_tanah
1,-114.31,34.19,15,5612,1.4936,66900
2,-114.47,34.4,19,7650,1.82,80100
3,-114.56,33.69,17,720,1.6509,85700
4,-114.57,33.64,14,1501,3.1917,73400
5,-114.57,33.57,20,1454,1.925,65500
6,-114.58,33.63,29,1387,3.3438,74000
7,-114.58,33.61,25,2907,2.6768,82400
8,-114.59,34.83,41,812,1.7083,48500
9,-114.59,33.61,34,4789,2.1782,58400
10,-114.6,34.83,46,1497,2.1908,48100
11,-114.6,33.62,16,3741,2.6797,86500
12,-114.6,33.6,21,1988,1.625,62000
13,-114.61,34.84,48,1291,2.1571,48600
14,-114.61,34.83,31,2478,3.212,70400
15,-114.63,32.76,15,1448,0.8585,45000
16,-114.65,34.89,17,2556,1.6991,69100
17,-114.65,33.6,28,1678,2.9653,94900
18,-114.65,32.79,21,44,0.8571,25000
19,-114.66,32.74,17,1388,1.2049,44000
20,-114.67,33.92,17,97,1.2656,27500
21,-114.68,33.49,20,1491,1.6395,44400
22,-114.73,33.43,24,796,0.8964,59200
23,-114.94,34.55,20,350,1.625,50000
24,-114.98,33.82,15,644,3.2097,71300
25,-115.22,33.54,18,1706,1.625,53500
26,-115.32,32.82,34,591,3.6528,100000
27,-115.37,32.82,30,1602,3.5735,71100
28,-115.37,32.82,14,1276,1.9375,80900
29,-115.37,32.81,32,741,1.7604,68600
30,-115.37,32.81,23,1458,2.3594,74300
31,-115.38,32.82,38,1892,1.9939,65800
32,-115.38,32.81,35,1263,1.8958,67500
33,-115.39,32.76,16,1136,6.2558,146300
34,-115.4,32.86,19,1087,3.3182,113800
35,-115.4,32.7,19,583,1.6838,95800
36,-115.41,32.99,29,1141,3.4038,107800
37,-115.46,33.19,33,1234,1,40000
38,-115.48,32.8,21,1260,2.6172,88500
39,-115.48,32.68,15,3414,2.3319,91200
40,-115.49,32.87,19,541,3.3583,102800
41,-115.49,32.69,17,1960,1.899,64000
42,-115.49,32.67,29,1523,1.1311,84700
43,-115.49,32.67,25,2322,1.375,70100
44,-115.5,32.75,13,330,3.4107,142500
45,-115.5,32.68,18,3631,1.5931,88400
46,-115.5,32.67,35,2159,2.1776,75500
47,-115.51,33.24,32,1995,1.6552,43300
48,-115.51,33.12,21,1024,2.101,46700
49,-115.51,32.99,20,1402,1.9088,63700
50,-115.51,32.68,11,2872,2.625,72700
51,-115.52,34.22,30,540,1.3333,42500
52,-115.52,33.13,18,1109,2.163,53400
53,-115.52,33.12,38,1327,1.8793,60800
54,-115.52,32.98,32,1615,1.4583,58600
55,-115.52,32.97,24,1617,1.975,66400
56,-115.52,32.97,10,1879,1.9911,67500
57,-115.52,32.77,18,1715,2.2417,79200
58,-115.52,32.73,17,1190,2.3571,63100
59,-115.52,32.67,6,2804,2.0625,67700
60,-115.53,34.91,12,807,2.5391,40000
61,-115.53,32.99,25,2578,1.7159,62200
62,-115.53,32.97,35,1583,2.4063,70700
63,-115.53,32.97,34,2231,1.5217,60300
64,-115.53,32.73,14,1527,1.735,61200
65,-115.54,32.99,23,1459,1.5372,69400
66,-115.54,32.99,17,1697,4.3523,96000
67,-115.54,32.98,27,1513,1.9464,60600
68,-115.54,32.97,41,2429,3.0091,70800
69,-115.54,32.79,23,1712,1.275,60400
