Alternatif ID: 8091, Nilai: 103571.10, Jarak: 233.19, Atraksi: 22, Penduduk: 17591, Pendapatan: 8.2831, Harga Tanah: 500001
Alternatif ID: 8821, Nilai: 103350.65, Jarak: 182.11, Atraksi: 17, Penduduk: 16544, Pendapatan: 9.1228, Harga Tanah: 500001
Alternatif ID: 8950, Nilai: 103241.36, Jarak: 189.04, Atraksi: 19, Penduduk: 15990, Pendapatan: 7.7848, Harga Tanah: 500001
Alternatif ID: 8888, Nilai: 103151.94, Jarak: 174.06, Atraksi: 4, Penduduk: 15572, Pendapatan: 8.6499, Harga Tanah: 500001
Alternatif ID: 6349, Nilai: 102959.39, Jarak: 199.80, Atraksi: 32, Penduduk: 14556, Pendapatan: 8.1657, Harga Tanah: 500001
Alternatif ID: 13143, Nilai: 102356.52, Jarak: 320.30, Atraksi: 4, Penduduk: 11444, Pendapatan: 13.2949, Harga Tanah: 500001
Alternatif ID: 14515, Nilai: 102326.13, Jarak: 300.51, Atraksi: 23, Penduduk: 11294, Pendapatan: 12.1387, Harga Tanah: 500001
Alternatif ID: 7770, Nilai: 102323.54, Jarak: 232.87, Atraksi: 21, Penduduk: 11353, Pendapatan: 9.821, Harga Tanah: 500001
Alternatif ID: 8571, Nilai: 102274.51, Jarak: 189.08, Atraksi: 23, Penduduk: 11154, Pendapatan: 5.4609, Harga Tanah: 500001
Alternatif ID: 7345, Nilai: 102256.76, Jarak: 233.61, Atraksi: 25, Penduduk: 11016, Pendapatan: 8.1782, Harga Tanah: 500001
Alternatif ID: 16154, Nilai: 102233.31, Jarak: 361.25, Atraksi: 23, Penduduk: 10774, Pendapatan: 7.2905, Harga Tanah: 500001
Alternatif ID: 8142, Nilai: 102208.87, Jarak: 197.61, Atraksi: 27, Penduduk: 10806, Pendapatan: 12.7296, Harga Tanah: 500001
Alternatif ID: 5702, Nilai: 102173.80, Jarak: 200.15, Atraksi: 32, Penduduk: 10626, Pendapatan: 9.8413, Harga Tanah: 500001
Alternatif ID: 7769, Nilai: 102143.32, Jarak: 230.90, Atraksi: 32, Penduduk: 10445, Pendapatan: 7.7042, Harga Tanah: 500001
Alternatif ID: 2699, Nilai: 102061.46, Jarak: 286.17, Atraksi: 2, Penduduk: 10008, Pendapatan: 10.1122, Harga Tanah: 500001
Alternatif ID: 9001, Nilai: 102039.41, Jarak: 164.13, Atraksi: 5, Penduduk: 10018, Pendapatan: 8.9063, Harga Tanah: 500001
Alternatif ID: 7965, Nilai: 101991.03, Jarak: 204.28, Atraksi: 16, Penduduk: 9728, Pendapatan: 5.8758, Harga Tanah: 500001
Alternatif ID: 8695, Nilai: 101976.04, Jarak: 188.75, Atraksi: 23, Penduduk: 9657, Pendapatan: 10.4399, Harga Tanah: 500001
Alternatif ID: 8380, Nilai: 101932.99, Jarak: 209.76, Atraksi: 18, Penduduk: 9430, Pendapatan: 6.1726, Harga Tanah: 500001
Alternatif ID: 8457, Nilai: 101910.95, Jarak: 192.39, Atraksi: 31, Penduduk: 9320, Pendapatan: 10.3599, Harga Tanah: 500001
Alternatif ID: 8671, Nilai: 101863.40, Jarak: 199.99, Atraksi: 35, Penduduk: 9075, Pendapatan: 6.0307, Harga Tanah: 500001
Alternatif ID: 8573, Nilai: 101850.17, Jarak: 193.90, Atraksi: 29, Penduduk: 9013, Pendapatan: 13.947, Harga Tanah: 500001
Alternatif ID: 8817, Nilai: 101805.46, Jarak: 196.57, Atraksi: 23, Penduduk: 8798, Pendapatan: 8.7364, Harga Tanah: 500001
Alternatif ID: 7462, Nilai: 101709.04, Jarak: 237.11, Atraksi: 25, Penduduk: 8272, Pendapatan: 10.0973, Harga Tanah: 500001
Alternatif ID: 7771, Nilai: 101708.71, Jarak: 234.85, Atraksi: 23, Penduduk: 8277, Pendapatan: 7.6986, Harga Tanah: 500001
Alternatif ID: 7879, Nilai: 101700.55, Jarak: 197.17, Atraksi: 32, Penduduk: 8262, Pendapatan: 10.5575, Harga Tanah: 500001
Alternatif ID: 8713, Nilai: 101637.90, Jarak: 193.22, Atraksi: 14, Penduduk: 7970, Pendapatan: 11.2866, Harga Tanah: 500001
Alternatif ID: 13719, Nilai: 101607.18, Jarak: 328.38, Atraksi: 16, Penduduk: 7681, Pendapatan: 9.5271, Harga Tanah: 500001
Alternatif ID: 8635, Nilai: 101572.62, Jarak: 176.21, Atraksi: 10, Penduduk: 7665, Pendapatan: 10.8805, Harga Tanah: 500001
Alternatif ID: 8008, Nilai: 101563.73, Jarak: 231.61, Atraksi: 22, Penduduk: 7554, Pendapatan: 10.06, Harga Tanah: 500001
Alternatif ID: 8911, Nilai: 101541.56, Jarak: 180.90, Atraksi: 12, Penduduk: 7508, Pendapatan: 5.8788, Harga Tanah: 500001
Alternatif ID: 15325, Nilai: 101537.36, Jarak: 319.24, Atraksi: 25, Penduduk: 7335, Pendapatan: 6.5475, Harga Tanah: 500001
Alternatif ID: 8609, Nilai: 101530.07, Jarak: 202.25, Atraksi: 24, Penduduk: 7418, Pendapatan: 5.0867, Harga Tanah: 500001
Alternatif ID: 8699, Nilai: 101518.07, Jarak: 175.73, Atraksi: 20, Penduduk: 7384, Pendapatan: 9.6047, Harga Tanah: 500001
Alternatif ID: 14661, Nilai: 101517.55, Jarak: 344.82, Atraksi: 31, Penduduk: 7200, Pendapatan: 10.9405, Harga Tanah: 500001
Alternatif ID: 15663, Nilai: 101510.60, Jarak: 330.32, Atraksi: 21, Penduduk: 7189, Pendapatan: 11.6833, Harga Tanah: 500001
Alternatif ID: 16155, Nilai: 101466.32, Jarak: 355.21, Atraksi: 45, Penduduk: 6927, Pendapatan: 3.4051, Harga Tanah: 500001
Alternatif ID: 8629, Nilai: 101429.66, Jarak: 190.09, Atraksi: 28, Penduduk: 6920, Pendapatan: 9.2189, Harga Tanah: 500001
Alternatif ID: 2585, Nilai: 101424.78, Jarak: 291.40, Atraksi: 7, Penduduk: 6814, Pendapatan: 10.49, Harga Tanah: 500001
Alternatif ID: 8654, Nilai: 101403.80, Jarak: 198.44, Atraksi: 33, Penduduk: 6778, Pendapatan: 8.565, Harga Tanah: 500001
Alternatif ID: 8572, Nilai: 101396.18, Jarak: 191.00, Atraksi: 28, Penduduk: 6748, Pendapatan: 12.8879, Harga Tanah: 500001
Alternatif ID: 8290, Nilai: 101383.29, Jarak: 197.62, Atraksi: 31, Penduduk: 6675, Pendapatan: 11.8442, Harga Tanah: 500001
Alternatif ID: 8508, Nilai: 101367.82, Jarak: 194.81, Atraksi: 27, Penduduk: 6603, Pendapatan: 13.2935, Harga Tanah: 500001
