Date,gold_price,snp500_price,usdollarindex_price,crudeoil_price
2000-01-04,283.7,1399.4,100.41,25.55
2000-01-05,282.1,1402.1,100.38,24.91
2000-01-06,282.4,1403.5,100.65,24.78
2000-01-07,282.9,1441.5,100.8,24.22
2000-01-10,282.7,1457.6,100.99,24.67
2000-01-11,284.4,1438.6,100.56,25.77
2000-01-12,283.7,1432.2,100.62,26.28
2000-01-13,285.1,1449.7,101.0,26.69
2000-01-14,284.9,1465.2,101.72,28.02
2000-01-17,1884.3,3794.7879999999996,102.05,73.55199999999999
2000-01-18,289.6,1455.1,101.86,28.85
2000-01-19,290.3,1455.9,101.76,29.54
2000-01-20,289.3,1445.6,101.36,29.66
2000-01-21,289.7,1441.4,101.76,28.2
2000-01-24,288.1,1401.5,102.2,27.83
2000-01-25,286.6,1410.0,102.41,28.28
2000-01-26,286.5,1404.1,102.44,27.84
2000-01-27,287.1,1398.6,103.17,27.32
2000-01-28,286.0,1360.2,104.48,27.22
2000-01-31,286.2,1394.5,105.13,27.64
2000-02-01,285.4,1409.3,104.92,28.22
2000-02-02,287.7,1409.1,104.79,27.55
2000-02-03,289.9,1425.0,103.8,28.03
2000-02-04,313.0,1424.4,104.29,28.82
2000-02-07,304.5,1424.2,104.64,28.45
2000-02-08,301.7,1441.7,104.22,28.02
2000-02-09,308.6,1411.7,103.68,28.77
2000-02-10,318.7,1416.8,104.13,29.43
2000-02-11,313.6,1387.1,104.19,29.44
2000-02-14,311.0,1389.9,104.72,30.25
2000-02-15,304.1,1402.0,104.69,30.06
2000-02-16,305.0,1387.7,104.28,30.05
2000-02-17,303.8,1388.3,104.27,29.46
2000-02-18,307.3,1346.1,104.63,29.51
2000-02-21,1560.8600000000001,3422.41,104.58,67.85
2000-02-22,307.7,1352.2,103.28,29.62
2000-02-23,302.4,1360.7,103.53,29.39
2000-02-24,300.9,1353.4,104.01,29.97
2000-02-25,294.6,1333.4,105.26,30.35
2000-02-28,294.2,1348.0,105.27,30.13
2000-02-29,294.2,1366.4,105.92,30.43
2000-03-01,293.3,1379.2,104.89,31.77
2000-03-02,289.7,1381.8,105.65,31.69
2000-03-03,290.3,1409.2,106.0,31.51
2000-03-06,289.4,1391.3,106.16,32.18
2000-03-07,293.7,1355.6,106.09,34.13
2000-03-08,290.4,1366.7,105.93,31.26
2000-03-09,292.7,1401.7,105.37,31.69
2000-03-10,290.0,1395.1,105.71,31.76
2000-03-13,291.5,1383.6,105.5,32.02
2000-03-14,289.7,1359.2,105.3,31.69
2000-03-15,289.6,1392.2,105.38,30.72
2000-03-16,287.0,1458.5,105.18,31.09
2000-03-17,285.0,1464.5,105.2,30.91
2000-03-20,286.5,1456.6,105.15,29.43
2000-03-21,290.4,1493.9,105.81,28.0
2000-03-22,288.3,1500.6,106.04,27.46
2000-03-23,285.4,1527.3,105.23,27.31
2000-03-24,285.1,1527.5,104.77,28.02
2000-03-27,280.5,1523.9,105.45,27.79
2000-03-28,279.5,1507.7,105.53,27.09
2000-03-29,275.9,1508.5,106.25,26.45
2000-03-30,279.1,1487.9,105.47,26.7
2000-03-31,281.4,1498.6,105.44,26.9
2000-04-03,280.4,1506.0,105.54,26.43
2000-04-04,286.6,1494.7,105.17,25.45
2000-04-05,283.8,1487.4,105.29,25.83
2000-04-06,282.7,1501.3,105.52,25.69
2000-04-07,282.5,1516.3,105.97,25.04
2000-04-10,284.0,1504.5,105.68,23.85
2000-04-11,283.7,1500.6,105.94,24.14
2000-04-12,283.5,1467.2,105.96,25.41
2000-04-13,283.2,1440.5,106.14,25.38
2000-04-14,284.6,1356.6,105.75,25.57
2000-04-17,284.2,1401.4,106.13,25.89
2000-04-18,283.0,1441.6,106.63,26.11
2000-04-19,282.5,1427.5,107.13,27.35
2000-04-20,281.5,1434.5,107.45,25.88
2000-04-24,281.2,1429.9,107.28,26.04
2000-04-25,279.8,1477.4,108.69,25.33
2000-04-26,277.1,1461.0,108.55,24.65
2000-04-27,278.4,1464.9,109.57,25.42
2000-04-28,274.7,1452.4,110.14,25.74
2000-05-01,274.8,1468.2,109.63,25.87
2000-05-02,277.0,1446.3,110.26,26.89
2000-05-03,279.1,1415.1,111.26,26.75
2000-05-04,281.2,1409.6,111.8,26.98
2000-05-05,280.1,1432.6,111.31,27.29
2000-05-08,277.6,1424.2,111.45,28.09
2000-05-09,278.2,1412.1,110.75,28.65
2000-05-10,278.7,1383.0,110.8,28.1
2000-05-11,276.5,1407.8,111.52,29.11
2000-05-12,276.9,1421.0,109.9,29.62
2000-05-15,276.4,1452.4,110.56,29.92
2000-05-16,276.2,1466.0,111.31,29.73
2000-05-17,273.8,1447.8,112.1,29.32
2000-05-18,273.7,1437.2,112.21,30.33
2000-05-19,274.6,1407.0,111.47,29.89
2000-05-22,276.2,1400.7,111.06,28.61
2000-05-23,274.7,1373.9,111.14,28.78
2000-05-24,273.8,1399.0,111.22,29.93
2000-05-25,270.7,1381.5,110.75,30.51
2000-05-26,272.2,1378.0,109.12,30.0
2000-05-30,275.5,1422.5,108.93,30.35
2000-05-31,274.8,1420.6,108.74,29.01
2000-06-01,275.4,1448.8,109.05,30.14
2000-06-02,284.2,1477.3,108.12,30.35
2000-06-05,288.2,1467.6,107.46,29.7
2000-06-06,291.8,1457.8,106.59,29.75
