"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-09-08 01:16:00","1694110560000","9.00%","53.5%","7.46 GB/s","6.45 GB/s","2 req/s","0 req/s","607 ms","0"
"2023-09-08 01:16:05","1694110565000","16.6%","53.3%","5.85 GB/s","5.27 GB/s","2.20 req/s","0 req/s","2.09 s","0"
"2023-09-08 01:16:10","1694110570000","20.2%","55.3%","9.06 GB/s","7.96 GB/s","3.20 req/s","0 req/s","3.45 s","0"
"2023-09-08 01:16:15","1694110575000","14.6%","58.0%","8.41 GB/s","7.21 GB/s","3.20 req/s","0 req/s","2.58 s","0"
"2023-09-08 01:16:20","1694110580000","10.2%","53.5%","4.88 GB/s","4.30 GB/s","2.60 req/s","0 req/s","862 ms","0"
"2023-09-08 01:16:25","1694110585000","9.40%","55.6%","6.88 GB/s","5.91 GB/s","1.80 req/s","0 req/s","503 ms","0"
"2023-09-08 01:16:30","1694110590000","14.6%","53.9%","6.38 GB/s","5.66 GB/s","2.80 req/s","0 req/s","1.10 s","0"
"2023-09-08 01:16:35","1694110595000","12.0%","53.2%","2.95 GB/s","2.64 GB/s","2.60 req/s","0 req/s","1.03 s","0"
"2023-09-08 01:16:40","1694110600000","8.20%","53.0%","2.44 GB/s","2.78 GB/s","1.60 req/s","0 req/s","474 ms","0"
"2023-09-08 01:16:45","1694110605000","7.20%","53.1%","5.29 GB/s","3.99 GB/s","2.40 req/s","0 req/s","1.61 s","0"
"2023-09-08 01:16:50","1694110610000","18.8%","53.7%","7.62 GB/s","6.91 GB/s","3.40 req/s","0 req/s","1.44 s","0"
"2023-09-08 01:16:55","1694110615000","15.6%","53.5%","5.99 GB/s","5.33 GB/s","2.20 req/s","0 req/s","1.55 s","0"
"2023-09-08 01:17:00","1694110620000","20.8%","57.0%","11.8 GB/s","10.2 GB/s","3 req/s","0 req/s","885 ms","0"
"2023-09-08 01:17:05","1694110625000","6.00%","55.7%","3.99 GB/s","3.41 GB/s","1.40 req/s","0 req/s","413 ms","0"
"2023-09-08 01:17:10","1694110630000","20.2%","53.9%","10.7 GB/s","9.21 GB/s","2.20 req/s","0 req/s","990 ms","0"
"2023-09-08 01:17:15","1694110635000","18.2%","55.2%","5.54 GB/s","4.96 GB/s","2.40 req/s","0 req/s","912 ms","0"
"2023-09-08 01:17:20","1694110640000","16.2%","50.7%","5.28 GB/s","4.72 GB/s","2.60 req/s","0 req/s","1.19 s","0"
"2023-09-08 01:17:25","1694110645000","19.4%","53.7%","5.28 GB/s","4.74 GB/s","2.40 req/s","0 req/s","1.51 s","0"
"2023-09-08 01:17:30","1694110650000","15.4%","53.4%","6.58 GB/s","5.78 GB/s","3.40 req/s","0 req/s","1.05 s","0"
"2023-09-08 01:17:35","1694110655000","15.4%","53.8%","6.99 GB/s","6.19 GB/s","2.40 req/s","0 req/s","745 ms","0"
"2023-09-08 01:17:40","1694110660000","6.60%","53.8%","1.83 GB/s","1.59 GB/s","2 req/s","0 req/s","509 ms","0"
"2023-09-08 01:17:45","1694110665000","12.6%","55.6%","7.97 GB/s","6.86 GB/s","3 req/s","0 req/s","994 ms","0"
"2023-09-08 01:17:50","1694110670000","16.6%","58.0%","6.75 GB/s","6.00 GB/s","2.80 req/s","0 req/s","2.14 s","0"
"2023-09-08 01:17:55","1694110675000","12.4%","58.7%","6.23 GB/s","5.87 GB/s","2.80 req/s","0 req/s","792 ms","0"
"2023-09-08 01:18:00","1694110680000","13.8%","57.3%","4.79 GB/s","4.25 GB/s","1.60 req/s","0 req/s","684 ms","0"
"2023-09-08 01:18:05","1694110685000","8.20%","55.5%","3.21 GB/s","2.80 GB/s","0.600 req/s","0 req/s","438 ms","0"
"2023-09-08 01:18:10","1694110690000","16.8%","55.2%","11.7 GB/s","10.3 GB/s","3.60 req/s","0 req/s","2.79 s","0"
"2023-09-08 01:18:15","1694110695000","18.0%","53.9%","4.64 GB/s","4.66 GB/s","3.60 req/s","0 req/s","2.05 s","0"
"2023-09-08 01:18:20","1694110700000","17.6%","57.0%","12.6 GB/s","10.3 GB/s","1.60 req/s","0 req/s","720 ms","0"
"2023-09-08 01:18:25","1694110705000","6.00%","57.0%","1.08 GB/s","972 MB/s","1.20 req/s","0 req/s","388 ms","0"
"2023-09-08 01:18:30","1694110710000","11.6%","54.0%","3.23 GB/s","2.93 GB/s","2 req/s","0 req/s","1.12 s","0"
"2023-09-08 01:18:35","1694110715000","15.8%","54.2%","4.95 GB/s","4.40 GB/s","2 req/s","0 req/s","871 ms","0"
"2023-09-08 01:18:40","1694110720000","12.4%","54.1%","4.39 GB/s","3.86 GB/s","2.80 req/s","0 req/s","627 ms","0"
"2023-09-08 01:18:45","1694110725000","5.20%","54.1%","3.12 GB/s","2.70 GB/s","1.60 req/s","0 req/s","426 ms","0"
"2023-09-08 01:18:50","1694110730000","12.6%","53.7%","3.67 GB/s","3.47 GB/s","3.40 req/s","0 req/s","2.10 s","0"
"2023-09-08 01:18:55","1694110735000","7.80%","53.8%","2.54 GB/s","2.19 GB/s","1 req/s","0 req/s","270 ms","0"
"2023-09-08 01:19:00","1694110740000","11.6%","53.5%","5.79 GB/s","5.03 GB/s","2.80 req/s","0 req/s","677 ms","0"
"2023-09-08 01:19:05","1694110745000","17.4%","54.8%","8.30 GB/s","7.27 GB/s","2.80 req/s","0 req/s","968 ms","0"
"2023-09-08 01:19:10","1694110750000","19.0%","55.4%","10.4 GB/s","9.07 GB/s","3.20 req/s","0 req/s","823 ms","0"
"2023-09-08 01:19:15","1694110755000","23.6%","54.8%","17.2 GB/s","15.0 GB/s","2.80 req/s","0 req/s","1.07 s","0"
"2023-09-08 01:19:20","1694110760000","12.8%","55.2%","7.41 GB/s","6.42 GB/s","3.20 req/s","0 req/s","1.37 s","0"
"2023-09-08 01:19:25","1694110765000","23.4%","55.5%","14.8 GB/s","13.1 GB/s","3 req/s","0 req/s","983 ms","0"
"2023-09-08 01:19:30","1694110770000","21.2%","60.4%","9.64 GB/s","8.50 GB/s","3.60 req/s","0 req/s","2.48 s","0"
"2023-09-08 01:19:35","1694110775000","14.6%","53.4%","8.21 GB/s","7.22 GB/s","2.60 req/s","0 req/s","1.50 s","0"
"2023-09-08 01:19:40","1694110780000","11.8%","53.6%","3.54 GB/s","3.15 GB/s","2.40 req/s","0 req/s","1.43 s","0"
"2023-09-08 01:19:45","1694110785000","16.0%","53.1%","6.87 GB/s","6.12 GB/s","3 req/s","0 req/s","1.43 s","0"
"2023-09-08 01:19:50","1694110790000","10.2%","53.8%","6.41 GB/s","5.50 GB/s","2 req/s","0 req/s","532 ms","0"
"2023-09-08 01:19:55","1694110795000","9.80%","54.9%","6.78 GB/s","5.87 GB/s","1.60 req/s","0 req/s","462 ms","0"
"2023-09-08 01:20:00","1694110800000","8.40%","53.1%","4.45 GB/s","3.88 GB/s","2 req/s","0 req/s","970 ms","0"
"2023-09-08 01:20:05","1694110805000","28.4%","54.4%","15.5 GB/s","13.6 GB/s","2.80 req/s","0 req/s","1.68 s","0"
"2023-09-08 01:20:10","1694110810000","19.8%","54.0%","5.03 GB/s","4.51 GB/s","2.60 req/s","0 req/s","2.11 s","0"
"2023-09-08 01:20:15","1694110815000","26.8%","56.5%","10.8 GB/s","9.79 GB/s","3.40 req/s","0 req/s","2.39 s","0"
"2023-09-08 01:20:20","1694110820000","19.2%","54.0%","8.71 GB/s","7.64 GB/s","4 req/s","0 req/s","1.17 s","0"
"2023-09-08 01:20:25","1694110825000","13.6%","54.4%","6.67 GB/s","5.80 GB/s","1.80 req/s","0 req/s","567 ms","0"
"2023-09-08 01:20:30","1694110830000","14.4%","53.0%","2.90 GB/s","2.63 GB/s","2.40 req/s","0 req/s","648 ms","0"
"2023-09-08 01:20:35","1694110835000","10.2%","53.7%","3.36 GB/s","2.99 GB/s","2 req/s","0 req/s","708 ms","0"
"2023-09-08 01:20:40","1694110840000","15.0%","58.6%","11.4 GB/s","9.98 GB/s","2.60 req/s","0 req/s","629 ms","0"
"2023-09-08 01:20:45","1694110845000","23.4%","55.3%","9.38 GB/s","8.17 GB/s","2.60 req/s","0 req/s","1.28 s","0"
"2023-09-08 01:20:50","1694110850000","11.8%","53.0%","2.39 GB/s","2.18 GB/s","2 req/s","0 req/s","910 ms","0"
"2023-09-08 01:20:55","1694110855000","20.2%","53.2%","13.2 GB/s","11.4 GB/s","2.20 req/s","0 req/s","746 ms","0"
"2023-09-08 01:21:00","1694110860000","8.80%","53.1%","5.64 GB/s","4.92 GB/s","2.40 req/s","0 req/s","528 ms","0"
"2023-09-08 01:21:05","1694110865000","15.2%","53.2%","4.94 GB/s","4.34 GB/s","2.40 req/s","0 req/s","812 ms","0"
"2023-09-08 01:21:10","1694110870000","20.4%","53.2%","5.07 GB/s","4.57 GB/s","2.60 req/s","0 req/s","2.30 s","0"
"2023-09-08 01:21:15","1694110875000","20.8%","54.1%","9.13 GB/s","8.06 GB/s","2.80 req/s","0 req/s","2.98 s","0"
"2023-09-08 01:21:20","1694110880000","23.4%","59.6%","13.6 GB/s","12.0 GB/s","4 req/s","0 req/s","2.05 s","0"
"2023-09-08 01:21:25","1694110885000","21.0%","53.7%","10.3 GB/s","8.91 GB/s","3.60 req/s","0 req/s","1.48 s","0"
"2023-09-08 01:21:30","1694110890000","27.0%","55.5%","15.5 GB/s","13.3 GB/s","4 req/s","0 req/s","947 ms","0"
"2023-09-08 01:21:35","1694110895000","13.6%","54.0%","1.98 GB/s","1.77 GB/s","1.60 req/s","0 req/s","1.02 s","0"
"2023-09-08 01:21:40","1694110900000","31.2%","55.4%","11.6 GB/s","10.2 GB/s","4.20 req/s","0 req/s","2.47 s","0"
