username,tweet,label
dxndelin,@amyliarm lingkunganmu keknya punya pemahaman kl anak punk tuh jelek y? kesannya kok gitu. agak capek ya emg liat oÃ¢â‚¬Â¦ https://t.co/ycD6Yymv0j,Netral
__succiduous,Udah jelek brengsek pula,Ras
KemenagMempawah,"Lucunya penghuni negeri ini selalu di hiasi dan diwarnai Politik identitas,sehingga ada kesan Ã¢â‚¬Å“MABOK AGAMAÃ¢â‚¬Â..ada kaÃ¢â‚¬Â¦ https://t.co/ltlsFqcz4q",Agama
1stKOREANguy1,"Yang jelek + miskin udah pasti bukan Kristen , Tapi yang cantik,pinter,jago nuyanyi,Cino jowo jago masak,Kaya, UdahÃ¢â‚¬Â¦ https://t.co/OCiEYgamq0",Ras
newsutdofficial,@MurtadhaOne1 Mereka memanfaatkan kebodohan kadrun melalui berita2 hoax,Agama
pshycosocial_,"orang jelek kalo tarik tambang pasti kalah terus
  
  soalnya ga menarik xixi",Ras
yangmanatautau,Lelaki melayu kuat betul insecure dengan saiz d*ck negro ekkk. Tak habis habis main saiz benda alah tuuuu,Ras
Kyurus,@lulusikucing @otramercano Kan emg negara islam uwu,Netral
fifteennisa,@emerson_yuntho @geloraco Kadrun penyembah baliho di begoin manggut manggut...pantas saja Kadrun ga maju maju..bodohnya sundul langit..,Agama
bapakkautbc_,"Etdah kite2 lg yg disalahin pdhl emg bencong itu aj yg sakit napa dibawa2 mulu dh
  
  Udh mah mutual dia banyak yg pelÃ¢â‚¬Â¦ https://t.co/UC4Y41fBn0",Netral
eh_minee,"@bertanyarl LO KATOLIK GUA ISLAM, TAPI KITA SAMA SAMA SUKA GUA SUKA LO, LO SUKA DIA. MAKASIH",Netral
Marbot_Udien,"TUMPAS KADRUN HTI FPI Wahabi khilafah intolerans...
 
 . TUMPAS",Agama
marvelouzsjh,@piscesahi @F4IRYJKY EMANG GATAU TUH JARI JELEK,Ras
MbahnyaJambrong,"@PantauPapua Hahaha lucunya ini orang. Jelas-jelas Papua udah merdeka dibawah naungan NKRI, Bro!!",Ras
