,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,lingkung,kek,paham,anak,punk,tuh,jelek,y,kesan,gitu,capek,ya,liat,o,httpstcoycdyymvj,,,,,,,,,,,,,,,,,
1,udah,jelek,brengsek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,lucu,huni,negeri,hias,warna,politik,identitassehingga,kesan,mabok,agamaada,ka,httpstcoltlsfqczq,,,,,,,,,,,,,,,,,,,,
3,jelek,miskin,udah,kristen,cantikpinterjago,nuyanyicino,jawa,jago,masakkaya,udah,httpstcoocieygamq,,,,,,,,,,,,,,,,,,,,,
4,manfaat,bodoh,kadrun,berita,hoax,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,orang,jelek,kalo,tarik,tambang,kalah,tarik,xixi,,,,,,,,,,,,,,,,,,,,,,,,
6,lelaki,melayu,kuat,insecure,size,dck,negro,ekkk,habis,habis,main,size,benda,alah,tuuuu,,,,,,,,,,,,,,,,,
7,negara,islam,uwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kadrun,sembah,baliho,begoin,manggut,manggutpantas,kadrun,maju,majubodohnya,sundul,langit,,,,,,,,,,,,,,,,,,,,,
9,etdah,disalahin,bencong,aja,sakit,bawa,mulu,mah,mutual,pel,httpstcoucyfbn,,,,,,,,,,,,,,,,,,,,,
10,lo,katolik,gua,islam,suka,gua,suka,lo,lo,suka,makasih,,,,,,,,,,,,,,,,,,,,,
11,tumpas,kadrun,hti,fpi,wahabi,khilafah,intolerans,tumpas,,,,,,,,,,,,,,,,,,,,,,,,
12,emang,gatau,tuh,jari,jelek,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,hahaha,lucu,orang,jelasjelas,papua,udah,merdeka,bawah,naung,nkri,bro,,,,,,,,,,,,,,,,,,,,,
14,bagus,kak,makasii,coverin,my,universe,,,,,,,,,,,,,,,,,,,,,,,,,,
15,munafik,sih,cantik,tuhan,rupa,berbe,httpstcocizarox,,,,,,,,,,,,,,,,,,,,,,,,,
16,viral,undang,upacara,sudhi,wadani,sukmawati,sukarno,putri,agama,hindu,httpstcoagidemo,,,,,,,,,,,,,,,,,,,,,
17,si,pinter,alias,tolol,ngetttt,emang,anak,nyebutin,klinik,cantik,httpstcounyplchy,,,,,,,,,,,,,,,,,,,,,
18,duduk,indo,muslim,nggak,peduli,isuisu,sosbudasusila,kecuali,nista,agamanabiulama,sampe,httpstcoigbbawvm,,,,,,,,,,,,,,,,,,,,
19,keplak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,kaum,kadrun,sok,islamimereka,re,httpstcoerdwkfqu,,,,,,,,,,,,,,,,,,,,,,,,,,
21,wkakwkakwoakwoakakwkakw,jilat,artis,gin,bang,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,gabutnya,jelek,banget,ya,bangsat,gemes,pen,cubit,alis,,,,,,,,,,,,,,,,,,,,,,,
23,orang,prasangka,burukitu,karang,agama,fadliberprasangka,la,,,,,,,,,,,,,,,,,,,,,,,,,
24,paul,pogba,masuk,islam,pikir,identitas,kadangkadang,hid,httpstcopvtnddektm,,,,,,,,,,,,,,,,,,,,,,,
25,azer,gatau,knp,syiah,sih,sana,religius,kalo,alban,bosnia,kosovo,perang,et,httpstcomekfswgoa,,,,,,,,,,,,,,,,,,
26,agama,psti,tuhan,e,httpstcoexnuzaeb,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sumpah,kek,gaada,ide,astaga,jelek,banget,,,,,,,,,,,,,,,,,,,,,,,,,
28,calon,menteri,agama,partai,ummat,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,senin,oktober,apel,pagi,pimpin,wakil,ketua,adil,agama,luwuk,nurmaidah,shi,mh,httpstcokikjacdnkn,,,,,,,,,,,,,,,,,,
30,kabah,islam,anjing,edan,islam,agama,salah,httpstcoikpmdzfui,,,,,,,,,,,,,,,,,,,,,,,,
31,agama,konten,becandaan,sinting,lu,,,,,,,,,,,,,,,,,,,,,,,,,,,
