Ras,Agama,Netral
udah,lucu,lingkung
jelek,huni,kek
brengsek,negeri,paham
jelek,hias,anak
miskin,warna,punk
udah,politik,tuh
kristen,identitassehingga,jelek
cantikpinterjago,kesan,y
nuyanyicino,mabok,kesan
jawa,agamaada,gitu
jago,ka,capek
masakkaya,httpstcoltlsfqczq,ya
udah,manfaat,liat
httpstcoocieygamq,bodoh,o
orang,kadrun,httpstcoycdyymvj
jelek,berita,negara
kalo,hoax,islam
tarik,kadrun,uwu
tambang,sembah,etdah
kalah,baliho,disalahin
tarik,begoin,bencong
xixi,manggut,aja
lelaki,manggutpantas,sakit
melayu,kadrun,bawa
kuat,maju,mulu
insecure,majubodohnya,mah
size,sundul,mutual
dck,langit,pel
negro,tumpas,httpstcoucyfbn
ekkk,kadrun,lo
habis,hti,katolik
habis,fpi,gua
main,wahabi,islam
size,khilafah,suka
benda,intolerans,gua
alah,tumpas,suka
tuuuu,kaum,lo
emang,kadrun,lo
gatau,sok,suka
tuh,islamimereka,makasih
jari,re,bagus
jelek,httpstcoerdwkfqu,kak
hahaha,kabah,makasii
lucu,islam,coverin
orang,anjing,my
jelasjelas,edan,universe
papua,islam,munafik
udah,agama,sih
merdeka,salah,cantik
bawah,httpstcoikpmdzfui,tuhan
naung,mending,rupa
nkri,bajing,berbe
bro,munafik,httpstcocizarox
si,kadrun,viral
pinter,ibliss,undang
alias,dhajjall,upacara
tolol,percaya,sudhi
ngetttt,komunis,wadani
emang,suguh,sukmawati
anak,syurga,sukarno
nyebutin,anak,putri
klinik,bangsa,agama
cantik,media,hindu
httpstcounyplchy,bikin,httpstcoagidemo
gabutnya,kadrun,duduk
jelek,goblok,indo
banget,hahahaha,muslim
ya,gelora,nggak
bangsat,kadrun,peduli
gemes,cerita,isuisu
pen,jaman,sosbudasusila
cubit,kadrun,kecuali
alis,oon,nista
sebenernya,percaya,agamanabiulama
bikin,penting,sampe
bagus,butuh,httpstcoigbbawvm
muka,halal,keplak
dazai,haram,wkakwkakwoakwoakakwkakw
coba,munafik,jilat
kalo,kadrunbawa,artis
dazai,akhirattuan,gin
jelek,lu,bang
jelek,kasap,orang
jg,mata,prasangka
wkoskekekek,nyolong,burukitu
maling,n,karang
garong,n,agama
uang,httpstcooqlnnkopvn,fadliberprasangka
negara,si,la
indonesia,kadrun,paul
asal,ompong,pogba
negri,ken,masuk
cina,kuasa,islam
banyakada,httpstcoqibavrlc,pikir
tangkap,bagus,identitas
httpstcopknmriprl,nyakalau,kadangkadang
haha,ngerti,hid
iya,islam,httpstcopvtnddektm
ci,diam,azer
jelek,suka,gatau
ci,ngatain,knp
pinter,orang,syiah
ci,muslim,sih
nyusahin,kau,sana
ci,kafirrrr,religius
malesan,dasar,kalo
huwa,kaum,alban
this,kafir,bosnia
creepy,aku,kosovo
sound,agama,perang
can,islam,et
u,leceh,httpstcomekfswgoa
guys,sholat,agama
stop,syetannn,psti
i,lo,tuhan
knew,kapitalisme,e
it,balut,httpstcoexnuzaeb
wkwkwk,agama,sumpah
tau,inti,kek
tuh,cari,gaada
dah,celah,ide
jelekanehngetik,jual,astaga
media,dongeng,jelek
sosial,agama,banget
palsu,kaya,calon
lo,raya,menteri
sikap,oh,agama
apa,aceh,partai
khawatir,agama,ummat
